"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"CHINATOWN/INTERNATIONAL DISTRICT","HOMICIDE",12,10,10,10
"CHINATOWN/INTERNATIONAL DISTRICT","LIQUOR LAW VIOLATION",76,1,2,2
"CHINATOWN/INTERNATIONAL DISTRICT","LOITERING",2,0,0,0
"CHINATOWN/INTERNATIONAL DISTRICT","MOTOR VEHICLE THEFT",553,1,2,2
"CHINATOWN/INTERNATIONAL DISTRICT","NARCOTIC",1205,10,9,8
"CHINATOWN/INTERNATIONAL DISTRICT","PROSTITUTION",288,8,7,7
"CHINATOWN/INTERNATIONAL DISTRICT","RAPE",47,9,8,9
"CHINATOWN/INTERNATIONAL DISTRICT","ROBBERY-COMMERCIAL",228,5,5,5
"CHINATOWN/INTERNATIONAL DISTRICT","ROBBERY-RESIDENTIAL",13,8,7,9
"CHINATOWN/INTERNATIONAL DISTRICT","ROBBERY-STREET",514,7,7,9
"CHINATOWN/INTERNATIONAL DISTRICT","SEX OFFENSE-OTHER",107,8,6,6
"CHINATOWN/INTERNATIONAL DISTRICT","THEFT-ALL OTHER",941,3,2,3
"CHINATOWN/INTERNATIONAL DISTRICT","THEFT-BICYCLE",130,2,4,2
"CHINATOWN/INTERNATIONAL DISTRICT","THEFT-BUILDING",443,5,4,5
"CHINATOWN/INTERNATIONAL DISTRICT","THEFT-SHOPLIFT",5670,1,2,1
"CHINATOWN/INTERNATIONAL DISTRICT","TRESPASS",668,4,2,5
"CHINATOWN/INTERNATIONAL DISTRICT","WEAPON",171,9,8,9
"CLAREMONT/RAINIER VISTA","",3,NA,NA,NA
"CLAREMONT/RAINIER VISTA","AGGRAVATED ASSAULT",128,7,7,8
"CLAREMONT/RAINIER VISTA","AGGRAVATED ASSAULT-DV",83,5,5,6
"CLAREMONT/RAINIER VISTA","ARSON",6,8,8,10
"CLAREMONT/RAINIER VISTA","BURGLARY-COMMERCIAL",106,1,1,3
"CLAREMONT/RAINIER VISTA","BURGLARY-RESIDENTIAL",393,8,7,4
"CLAREMONT/RAINIER VISTA","BURGLARY-RESIDENTIAL-SECURE PARKING",1,8,7,4
"CLAREMONT/RAINIER VISTA","CAR PROWL",458,5,5,5
"CLAREMONT/RAINIER VISTA","DISORDERLY CONDUCT",1,3,4,4
"CLAREMONT/RAINIER VISTA","DUI",64,6,7,5
"CLAREMONT/RAINIER VISTA","FAMILY OFFENSE-NONVIOLENT",61,3,4,4
"CLAREMONT/RAINIER VISTA","HOMICIDE",3,10,10,10
"CLAREMONT/RAINIER VISTA","LIQUOR LAW VIOLATION",12,1,2,2
"CLAREMONT/RAINIER VISTA","MOTOR VEHICLE THEFT",341,1,2,2
"CLAREMONT/RAINIER VISTA","NARCOTIC",91,10,9,8
"CLAREMONT/RAINIER VISTA","PROSTITUTION",2,8,7,7
"CLAREMONT/RAINIER VISTA","RAPE",11,9,8,9
"CLAREMONT/RAINIER VISTA","ROBBERY-COMMERCIAL",19,5,5,5
"CLAREMONT/RAINIER VISTA","ROBBERY-RESIDENTIAL",19,8,7,9
"CLAREMONT/RAINIER VISTA","ROBBERY-STREET",122,7,7,9
"CLAREMONT/RAINIER VISTA","SEX OFFENSE-OTHER",48,8,6,6
"CLAREMONT/RAINIER VISTA","THEFT-ALL OTHER",263,3,2,3
"CLAREMONT/RAINIER VISTA","THEFT-BICYCLE",13,2,4,2
"CLAREMONT/RAINIER VISTA","THEFT-BUILDING",94,5,4,5
"CLAREMONT/RAINIER VISTA","THEFT-SHOPLIFT",35,1,2,1
"CLAREMONT/RAINIER VISTA","TRESPASS",92,4,2,5
"CLAREMONT/RAINIER VISTA","WEAPON",38,9,8,9
"COLUMBIA CITY","",3,NA,NA,NA
"COLUMBIA CITY","AGGRAVATED ASSAULT",108,7,7,8
"COLUMBIA CITY","AGGRAVATED ASSAULT-DV",112,5,5,6
"COLUMBIA CITY","ARSON",10,8,8,10
"COLUMBIA CITY","BURGLARY-COMMERCIAL",167,1,1,3
"COLUMBIA CITY","BURGLARY-COMMERCIAL-SECURE PARKING",3,1,1,3
"COLUMBIA CITY","BURGLARY-RESIDENTIAL",499,8,7,4
"COLUMBIA CITY","BURGLARY-RESIDENTIAL-SECURE PARKING",30,8,7,4
"COLUMBIA CITY","CAR PROWL",824,5,5,5
"COLUMBIA CITY","DISORDERLY CONDUCT",2,3,4,4
"COLUMBIA CITY","DUI",45,6,7,5
"COLUMBIA CITY","FAMILY OFFENSE-NONVIOLENT",69,3,4,4
"COLUMBIA CITY","HOMICIDE",3,10,10,10
"COLUMBIA CITY","LIQUOR LAW VIOLATION",6,1,2,2
"COLUMBIA CITY","LOITERING",1,0,0,0
"COLUMBIA CITY","MOTOR VEHICLE THEFT",404,1,2,2
"COLUMBIA CITY","NARCOTIC",97,10,9,8
"COLUMBIA CITY","PORNOGRAPHY",2,0,0,0
"COLUMBIA CITY","PROSTITUTION",15,8,7,7
"COLUMBIA CITY","RAPE",9,9,8,9
"COLUMBIA CITY","ROBBERY-COMMERCIAL",26,5,5,5
"COLUMBIA CITY","ROBBERY-RESIDENTIAL",13,8,7,9
"COLUMBIA CITY","ROBBERY-STREET",141,7,7,9
"COLUMBIA CITY","SEX OFFENSE-OTHER",48,8,6,6
"COLUMBIA CITY","THEFT-ALL OTHER",321,3,2,3
"COLUMBIA CITY","THEFT-BICYCLE",95,2,4,2
